
2025-12-03 03:48:19.785747

motor1 motor2 cuentas tiempo(s) c/s(1/s)
-450 -900 63 50 1.26
-445 -890 49 50 0.98
-440 -880 44 50 0.88
-435 -870 54 50 1.08
-430 -860 46 50 0.92
-425 -850 42 50 0.84
-420 -840 48 50 0.96
-415 -830 47 50 0.94
-410 -820 50 50 1.0
-405 -810 59 50 1.18
-400 -800 50 50 1.0
-395 -790 47 50 0.94
-390 -780 58 50 1.16
-385 -770 71 50 1.42
-380 -760 70 50 1.4
-375 -750 70 50 1.4
-370 -740 65 50 1.3
-365 -730 79 50 1.58
-360 -720 64 50 1.28
-355 -710 53 50 1.06
-350 -700 68 50 1.36
-345 -690 62 50 1.24
-340 -680 66 50 1.32
-335 -670 74 50 1.48
-330 -660 65 50 1.3
-325 -650 89 50 1.78
-320 -640 80 50 1.6
-315 -630 83 50 1.66
-310 -620 84 50 1.68
-305 -610 95 50 1.9
-300 -600 129 50 2.58
-295 -590 110 50 2.2
-290 -580 100 50 2.0
-285 -570 91 50 1.82
-280 -560 139 50 2.78
-275 -550 95 50 1.9
-270 -540 96 50 1.92
-265 -530 121 50 2.42
-260 -520 144 50 2.88
-255 -510 138 50 2.76
-250 -500 149 50 2.98
-245 -490 158 50 3.16
-240 -480 154 50 3.08
-235 -470 161 50 3.22
-230 -460 149 50 2.98
-225 -450 185 50 3.7
-220 -440 173 50 3.46
-215 -430 191 50 3.82
-210 -420 205 50 4.1
-205 -410 173 50 3.46
-200 -400 188 50 3.76
-195 -390 220 50 4.4
-190 -380 244 50 4.88
-185 -370 249 50 4.98
-180 -360 285 50 5.7
-175 -350 293 50 5.86
-170 -340 321 50 6.42
-165 -330 295 50 5.9
-160 -320 339 50 6.78
-155 -310 333 50 6.66
-150 -300 355 50 7.1
-145 -290 374 50 7.48
-140 -280 384 50 7.68
-135 -270 352 50 7.04
-130 -260 385 50 7.7
-125 -250 366 50 7.32
-120 -240 371 50 7.42
-115 -230 406 50 8.12
-110 -220 426 50 8.52
-105 -210 401 50 8.02
-100 -200 454 50 9.08
-95 -190 425 50 8.5
-90 -180 460 50 9.2
-85 -170 459 50 9.18
-80 -160 526 50 10.52
-75 -150 547 50 10.94
-70 -140 562 50 11.24
-65 -130 571 50 11.42
-60 -120 571 50 11.42
-55 -110 746 50 14.92
-50 -100 704 50 14.08
-45 -90 893 50 17.86
-40 -80 1032 50 20.64
-35 -70 1142 50 22.84
-30 -60 1366 50 27.32
-25 -50 1705 50 34.1
-20 -40 2058 50 41.16
-15 -30 2440 50 48.8
-10 -20 2632 50 52.64
-5 -10 2830 50 56.6
0 0 3008 50 60.16
5 10 2753 50 55.06
10 20 2509 50 50.18
15 30 2206 50 44.12
20 40 1675 50 33.5
25 50 1335 50 26.7
30 60 1003 50 20.06
35 70 820 50 16.4
40 80 647 50 12.94
45 90 548 50 10.96
50 100 466 50 9.32
55 110 406 50 8.12
60 120 308 50 6.16
65 130 294 50 5.88
70 140 246 50 4.92
75 150 201 50 4.02
80 160 202 50 4.04
85 170 174 50 3.48
90 180 162 50 3.24
95 190 145 50 2.9
100 200 99 50 1.98
105 210 114 50 2.28
110 220 104 50 2.08
115 230 97 50 1.94
120 240 79 50 1.58
125 250 89 50 1.78
130 260 77 50 1.54
135 270 79 50 1.58
140 280 65 50 1.3
145 290 54 50 1.08
150 300 68 50 1.36
155 310 44 50 0.88
160 320 57 50 1.14
165 330 54 50 1.08
170 340 54 50 1.08
175 350 47 50 0.94
180 360 51 50 1.02
185 370 50 50 1.0
190 380 43 50 0.86
195 390 30 50 0.6
200 400 49 50 0.98
