Energia_eV	Cuentas	Cuentas_norm	Error_Energia_eV	Error_Intensidad
7649.52421684	11117.00000000	0.86453068	0.20000000	0.01119622
7649.93772914	11828.00000000	0.91982269	0.20000000	0.01171869
7650.35274275	12859.00000000	1.00000000	0.20000000	0.01247129
7650.76925806	12628.00000000	0.98203593	0.20000000	0.01230314
7651.18727549	11865.00000000	0.92270005	0.20000000	0.01174580
7651.60679544	10077.00000000	0.78365347	0.20000000	0.01042590
7652.02781832	8331.00000000	0.64787308	0.20000000	0.00911178
7652.45034453	6339.00000000	0.49296213	0.20000000	0.00756532
7652.87437448	5108.00000000	0.39723151	0.20000000	0.00656980
7653.29990859	3805.00000000	0.29590170	0.20000000	0.00546080
7653.72694727	3158.00000000	0.24558675	0.20000000	0.00487737
7654.15549093	2578.00000000	0.20048215	0.20000000	0.00432625
7654.58553999	2123.00000000	0.16509837	0.20000000	0.00386767
7655.01709486	1863.00000000	0.14487907	0.20000000	0.00359153
7655.45015598	1558.00000000	0.12116028	0.20000000	0.00325020
7655.88472374	1484.00000000	0.11540555	0.20000000	0.00316392
7656.32079859	1250.00000000	0.09720818	0.20000000	0.00288000
7656.75838094	1086.00000000	0.08445447	0.20000000	0.00266878
7657.19747121	1008.00000000	0.07838868	0.20000000	0.00256396
7657.63806984	886.00000000	0.06890116	0.20000000	0.00239320
7658.08017725	769.00000000	0.05980247	0.20000000	0.00222008
7658.52379387	730.00000000	0.05676958	0.20000000	0.00215995
7658.96892013	662.00000000	0.05148145	0.20000000	0.00205174
7659.41555647	630.00000000	0.04899292	0.20000000	0.00199917
7659.86370332	612.00000000	0.04759313	0.20000000	0.00196909
7660.31336111	547.00000000	0.04253830	0.20000000	0.00185709
7660.76453029	486.00000000	0.03779454	0.20000000	0.00174649
7661.21721128	486.00000000	0.03779454	0.20000000	0.00174649
7661.67140454	456.00000000	0.03546154	0.20000000	0.00168983
7662.12711051	409.00000000	0.03180652	0.20000000	0.00159755
7662.58432962	387.00000000	0.03009565	0.20000000	0.00155270
7663.04306232	344.00000000	0.02675169	0.20000000	0.00146152
7663.50330907	290.00000000	0.02255230	0.20000000	0.00133917
7663.96507030	253.00000000	0.01967494	0.20000000	0.00124906
7664.42834646	215.00000000	0.01671981	0.20000000	0.00114977
7664.89313802	215.00000000	0.01671981	0.20000000	0.00114977
7665.35944541	221.00000000	0.01718641	0.20000000	0.00116597
7665.82726910	175.00000000	0.01360915	0.20000000	0.00103573
7666.29660954	185.00000000	0.01438681	0.20000000	0.00106532
7666.76746719	178.00000000	0.01384244	0.20000000	0.00104469
7667.23984251	170.00000000	0.01322031	0.20000000	0.00102063
7667.71373595	166.00000000	0.01290925	0.20000000	0.00100840
