
2025-12-03 01:47:29.664335

motor1 motor2 cuentas tiempo(s) c/s(1/s)
-450 -900 37 50 0.74
-445 -890 47 50 0.94
-440 -880 35 50 0.7
-435 -870 33 50 0.66
-430 -860 54 50 1.08
-425 -850 41 50 0.82
-420 -840 51 50 1.02
-415 -830 57 50 1.14
-410 -820 53 50 1.06
-405 -810 50 50 1.0
-400 -800 47 50 0.94
-395 -790 47 50 0.94
-390 -780 60 50 1.2
-385 -770 43 50 0.86
-380 -760 59 50 1.18
-375 -750 68 50 1.36
-370 -740 75 50 1.5
-365 -730 61 50 1.22
-360 -720 63 50 1.26
-355 -710 71 50 1.42
-350 -700 71 50 1.42
-345 -690 61 50 1.22
-340 -680 58 50 1.16
-335 -670 74 50 1.48
-330 -660 69 50 1.38
-325 -650 66 50 1.32
-320 -640 92 50 1.84
-315 -630 92 50 1.84
-310 -620 98 50 1.96
-305 -610 87 50 1.74
-300 -600 108 50 2.16
-295 -590 128 50 2.56
-290 -580 111 50 2.22
-285 -570 104 50 2.08
-280 -560 105 50 2.1
-275 -550 111 50 2.22
-270 -540 117 50 2.34
-265 -530 122 50 2.44
-260 -520 120 50 2.4
-255 -510 143 50 2.86
-250 -500 146 50 2.92
-245 -490 151 50 3.02
-240 -480 138 50 2.76
-235 -470 158 50 3.16
-230 -460 167 50 3.34
-225 -450 179 50 3.58
-220 -440 188 50 3.76
-215 -430 186 50 3.72
-210 -420 189 50 3.78
-205 -410 197 50 3.94
-200 -400 196 50 3.92
-195 -390 206 50 4.12
-190 -380 243 50 4.86
-185 -370 249 50 4.98
-180 -360 282 50 5.64
-175 -350 286 50 5.72
-170 -340 305 50 6.1
-165 -330 307 50 6.14
-160 -320 302 50 6.04
-155 -310 313 50 6.26
-150 -300 303 50 6.06
-145 -290 334 50 6.68
-140 -280 354 50 7.08
-135 -270 369 50 7.38
-130 -260 364 50 7.28
-125 -250 390 50 7.8
-120 -240 380 50 7.6
-115 -230 409 50 8.18
-110 -220 421 50 8.42
-105 -210 425 50 8.5
-100 -200 409 50 8.18
-95 -190 423 50 8.46
-90 -180 473 50 9.46
-85 -170 461 50 9.22
-80 -160 504 50 10.08
-75 -150 529 50 10.58
-70 -140 558 50 11.16
-65 -130 542 50 10.84
-60 -120 614 50 12.28
-55 -110 697 50 13.94
-50 -100 726 50 14.52
-45 -90 862 50 17.24
-40 -80 977 50 19.54
-35 -70 1180 50 23.6
-30 -60 1474 50 29.48
-25 -50 1708 50 34.16
-20 -40 2063 50 41.26
-15 -30 2285 50 45.7
-10 -20 2636 50 52.72
-5 -10 2940 50 58.8
0 0 2960 50 59.2
5 10 2933 50 58.66
10 20 2522 50 50.44
15 30 2141 50 42.82
20 40 1694 50 33.88
25 50 1338 50 26.76
30 60 1020 50 20.4
35 70 864 50 17.28
40 80 690 50 13.8
45 90 520 50 10.4
50 100 418 50 8.36
55 110 380 50 7.6
60 120 309 50 6.18
65 130 275 50 5.5
70 140 267 50 5.34
75 150 214 50 4.28
80 160 194 50 3.88
85 170 167 50 3.34
90 180 175 50 3.5
95 190 132 50 2.64
100 200 120 50 2.4
105 210 116 50 2.32
110 220 99 50 1.98
115 230 84 50 1.68
120 240 96 50 1.92
125 250 79 50 1.58
130 260 77 50 1.54
135 270 81 50 1.62
140 280 69 50 1.38
145 290 61 50 1.22
150 300 61 50 1.22
155 310 42 50 0.84
160 320 45 50 0.9
165 330 47 50 0.94
170 340 55 50 1.1
175 350 48 50 0.96
180 360 46 50 0.92
185 370 45 50 0.9
190 380 46 50 0.92
195 390 40 50 0.8
200 400 33 50 0.66
