
2025-12-02 23:46:39.543300

motor1 motor2 cuentas tiempo(s) c/s(1/s)
-450 -900 43 50 0.86
-445 -890 45 50 0.9
-440 -880 44 50 0.88
-435 -870 40 50 0.8
-430 -860 57 50 1.14
-425 -850 48 50 0.96
-420 -840 38 50 0.76
-415 -830 52 50 1.04
-410 -820 53 50 1.06
-405 -810 48 50 0.96
-400 -800 58 50 1.16
-395 -790 48 50 0.96
-390 -780 47 50 0.94
-385 -770 53 50 1.06
-380 -760 48 50 0.96
-375 -750 58 50 1.16
-370 -740 66 50 1.32
-365 -730 60 50 1.2
-360 -720 66 50 1.32
-355 -710 63 50 1.26
-350 -700 73 50 1.46
-345 -690 69 50 1.38
-340 -680 63 50 1.26
-335 -670 62 50 1.24
-330 -660 79 50 1.58
-325 -650 82 50 1.64
-320 -640 75 50 1.5
-315 -630 89 50 1.78
-310 -620 84 50 1.68
-305 -610 85 50 1.7
-300 -600 99 50 1.98
-295 -590 96 50 1.92
-290 -580 122 50 2.44
-285 -570 115 50 2.3
-280 -560 106 50 2.12
-275 -550 125 50 2.5
-270 -540 120 50 2.4
-265 -530 138 50 2.76
-260 -520 121 50 2.42
-255 -510 119 50 2.38
-250 -500 162 50 3.24
-245 -490 134 50 2.68
-240 -480 165 50 3.3
-235 -470 161 50 3.22
-230 -460 161 50 3.22
-225 -450 175 50 3.5
-220 -440 185 50 3.7
-215 -430 184 50 3.68
-210 -420 213 50 4.26
-205 -410 210 50 4.2
-200 -400 250 50 5.0
-195 -390 217 50 4.34
-190 -380 261 50 5.22
-185 -370 274 50 5.48
-180 -360 265 50 5.3
-175 -350 277 50 5.54
-170 -340 302 50 6.04
-165 -330 293 50 5.86
-160 -320 289 50 5.78
-155 -310 350 50 7.0
-150 -300 349 50 6.98
-145 -290 352 50 7.04
-140 -280 392 50 7.84
-135 -270 354 50 7.08
-130 -260 384 50 7.68
-125 -250 390 50 7.8
-120 -240 367 50 7.34
-115 -230 370 50 7.4
-110 -220 411 50 8.22
-105 -210 402 50 8.04
-100 -200 406 50 8.12
-95 -190 430 50 8.6
-90 -180 459 50 9.18
-85 -170 487 50 9.74
-80 -160 524 50 10.48
-75 -150 539 50 10.78
-70 -140 562 50 11.24
-65 -130 536 50 10.72
-60 -120 633 50 12.66
-55 -110 726 50 14.52
-50 -100 723 50 14.46
-45 -90 823 50 16.46
-40 -80 962 50 19.24
-35 -70 1206 50 24.12
-30 -60 1452 50 29.04
-25 -50 1697 50 33.94
-20 -40 2061 50 41.22
-15 -30 2446 50 48.92
-10 -20 2697 50 53.94
-5 -10 2850 50 57.0
0 0 3042 50 60.84
5 10 2727 50 54.54
10 20 2590 50 51.8
15 30 2220 50 44.4
20 40 1612 50 32.24
25 50 1375 50 27.5
30 60 1025 50 20.5
35 70 860 50 17.2
40 80 630 50 12.6
45 90 561 50 11.22
50 100 448 50 8.96
55 110 400 50 8.0
60 120 322 50 6.44
65 130 275 50 5.5
70 140 242 50 4.84
75 150 238 50 4.76
80 160 211 50 4.22
85 170 170 50 3.4
90 180 153 50 3.06
95 190 143 50 2.86
100 200 121 50 2.42
105 210 98 50 1.96
110 220 112 50 2.24
115 230 103 50 2.06
120 240 70 50 1.4
125 250 86 50 1.72
130 260 95 50 1.9
135 270 73 50 1.46
140 280 65 50 1.3
145 290 81 50 1.62
150 300 55 50 1.1
155 310 46 50 0.92
160 320 44 50 0.88
165 330 44 50 0.88
170 340 49 50 0.98
175 350 55 50 1.1
180 360 40 50 0.8
185 370 42 50 0.84
190 380 57 50 1.14
195 390 50 50 1.0
200 400 39 50 0.78
