Energía Intensidad
7632.298578199052 0.0007462686567164256
7632.298578199052 0.0007462686567164256
7633.127962085308 0.002985074626865647
7633.1611374407585 0.002238805970149249
7633.32701421801 0.0007462686567164256
7633.4928909952605 0.0007462686567164256
7633.725118483412 0.0007462686567164256
7634.090047393365 0.004850746268656725
7634.123222748815 0.004104477611940299
7634.1563981042655 0.0037313432835820726
7634.5213270142185 0.00037313432835819893
7634.687203791469 0.00037313432835819893
7635.549763033176 0.005970149253731322
7635.748815165877 0.00037313432835819893
7635.881516587678 0.00037313432835819893
7635.981042654029 0.002611940298507448
7636.047393364929 0.006343283582089548
7636.080568720379 0.002238805970149249
7636.113744075829 0.002985074626865647
7636.312796208531 0.005597014925373123
7636.345971563981 0.002985074626865647
7636.412322274882 0.006716417910447747
7636.445497630332 0.005597014925373123
7636.578199052133 0.01231343283582087
7636.611374407583 0.005970149253731322
7636.710900473934 0.0011194029850746245
7636.777251184834 0.0014925373134328235
7636.810426540284 0.002985074626865647
7636.976303317536 0.002238805970149249
7637.009478672986 0.0037313432835820726
7637.142180094787 0.005597014925373123
7637.208530805688 0.0018656716417910224
7637.440758293839 0.004477611940298498
7637.54028436019 0.007089552238805946
7637.639810426541 0.0007462686567164256
7637.905213270143 0.0007462686567164256
7638.104265402844 0.00037313432835819893
7638.203791469195 0.0011194029850746245
7638.402843601896 0.0018656716417910224
7638.90047393365 0.0014925373134328235
7638.96682464455 0.002985074626865647
7639.398104265403 0.002238805970149249
7639.431279620853 0.0018656716417910224
7639.663507109005 0.0011194029850746245
7640.260663507109 0.0018656716417910224
7640.36018957346 0.0018656716417910224
7640.559241706162 0.0007462686567164256
7640.625592417062 0.0007462686567164256
7641.322274881517 0.0007462686567164256
7641.388625592417 0.0007462686567164256
7641.554502369669 0.0018656716417910224
7641.72037914692 0.0011194029850746245
7641.81990521327 0.0011194029850746245
7641.8530805687205 0.002611940298507448
7641.952606635071 0.008582089552238797
7641.985781990522 0.004850746268656725
7642.018957345972 0.006343283582089548
7642.085308056872 0.002238805970149249
7642.251184834124 0.0037313432835820726
7642.284360189574 0.0014925373134328235
7642.317535545024 0.002238805970149249
7642.417061611374 0.0011194029850746245
7642.5165876777255 0.0011194029850746245
7642.549763033176 0.0018656716417910224
7642.616113744076 0.0007462686567164256
7642.781990521327 0.0007462686567164256
7643.1800947867305 0.002611940298507448
7643.412322274882 0.004104477611940299
7643.478672985782 0.0011194029850746245
7643.744075829384 0.0011194029850746245
7644.274881516588 0.0011194029850746245
7644.5071090047395 0.0011194029850746245
7644.60663507109 0.002238805970149249
7644.639810426541 0.004104477611940299
7644.706161137441 0.0014925373134328235
7644.938388625593 0.0011194029850746245
7644.971563981043 0.0033582089552238736
7645.071090047393 0.0018656716417910224
7645.104265402844 0.0014925373134328235
7645.336492890996 0.0018656716417910224
7645.369668246446 0.004477611940298498
7645.402843601896 0.0011194029850746245
7645.668246445498 0.0014925373134328235
7645.701421800948 0.004477611940298498
7646.199052132702 0.0018656716417910224
7646.563981042655 0.013432835820895522
7646.630331753555 0.013059701492537323
7646.597156398105 0.010074626865671621
7646.763033175355 0.01828358208955222
7646.829383886256 0.04813432835820894
7646.962085308057 0.004850746268656725
7646.995260663507 0.0018656716417910224
7647.1611374407585 0.004477611940298498
7647.194312796209 0.006343283582089548
7647.4928909952605 0.011567164179104472
7647.5260663507115 0.01791044776119402
7647.559241706162 0.03843283582089552
7647.625592417062 0.014552238805970147
7647.691943127962 0.008582089552238797
7647.857819905214 0.005597014925373123
7648.123222748815 0.006343283582089548
7647.990521327015 0.0007462686567164256
7648.255924170617 0.0018656716417910224
7648.322274881517 0.0007462686567164256
7648.5213270142185 0.0011194029850746245
7648.919431279621 0.0007462686567164256
7648.985781990522 0.0014925373134328235
7649.350710900474 0.0014925373134328235
7649.417061611374 0.002985074626865647
7649.549763033176 0.005597014925373123
7649.649289099526 0.008208955223880599
7649.682464454977 0.0014925373134328235
7649.815165876777 0.002238805970149249
7649.8483412322275 0.002611940298507448
7649.947867298579 0.008955223880597024
7649.981042654029 0.005597014925373123
7650.047393364929 0.013805970149253721
7650.113744075829 0.007462686567164173
7650.1469194312795 0.007835820895522372
7650.279620853081 0.0011194029850746245
7650.478672985782 0.0007462686567164256
7650.611374407583 0.002238805970149249
7650.810426540284 0.010074626865671621
7650.8436018957345 0.019402985074626844
7650.909952606636 0.02238805970149252
7650.976303317536 0.004104477611940299
7651.075829383886 0.0037313432835820726
7651.1753554502375 0.01791044776119402
7651.241706161138 0.008955223880597024
7651.308056872038 0.008208955223880599
7651.341232227488 0.023507462686567143
7651.57345971564 0.002985074626865647
7651.60663507109 0.002238805970149249
7651.639810426541 0.02014925373134327
7651.672985781991 0.019029850746268645
7651.706161137441 0.032835820895522366
7651.739336492891 0.02238805970149252
7651.872037914693 0.008955223880597024
7651.905213270143 0.01604477611940297
7651.938388625593 0.04552238805970146
7652.037914691943 0.023134328358208944
7652.071090047393 0.02388059701492537
7652.104265402844 0.038805970149253716
7652.137440758294 0.023507462686567143
7652.1706161137445 0.011567164179104472
7652.270142180095 0.0033582089552238736
7652.402843601896 0.02164179104477612
7652.436018957346 0.01417910447761192
7652.436018957346 0.004850746268656725
7652.469194312796 0.005597014925373123
7652.5023696682465 0.008582089552238797
7652.701421800948 0.002238805970149249
7652.767772511848 0.013059701492537323
7652.800947867298 0.004850746268656725
7652.834123222749 0.0011194029850746245
7653 0.0011194029850746245
7653.199052132702 0.0018656716417910224
7653.563981042655 0.0014925373134328235
7653.663507109005 0.007462686567164173
7653.763033175355 0.002985074626865647
7654.194312796209 0.0007462686567164256
7654.29383886256 0.004477611940298498
7654.559241706162 0.012686567164179097
7654.658767772512 0.004477611940298498
7655.222748815166 0.007089552238805946
7655.255924170617 0.0037313432835820726
7655.404376784016 0.059763998683941416
7655.504281636537 0.006680953608934975
7655.737392959087 0.007804938776599074
7656.103710751665 0.10164062708412995
7656.137012369172 0.07435126314947046



