Energia_eV	Cuentas	Cuentas_norm	Error_Energia_eV	Error_Intensidad
7649.48385591	3411.00000000	0.89739542	0.20000000	0.02116518
7649.89722141	3687.00000000	0.97000789	0.20000000	0.02242191
7650.31208817	3801.00000000	1.00000000	0.20000000	0.02293856
7650.72845660	3679.00000000	0.96790318	0.20000000	0.02238561
7651.14632711	3405.00000000	0.89581689	0.20000000	0.02113776
7651.56570009	2746.00000000	0.72244146	0.20000000	0.01809359
7651.98657597	2299.00000000	0.60484083	0.20000000	0.01598040
7652.40895513	1754.00000000	0.46145751	0.20000000	0.01332018
7652.83283800	1377.00000000	0.36227309	0.20000000	0.01139466
7653.25822499	1065.00000000	0.28018942	0.20000000	0.00971436
7653.68511650	921.00000000	0.24230466	0.20000000	0.00889910
7654.11351295	697.00000000	0.18337280	0.20000000	0.00755578
7654.54341476	610.00000000	0.16048408	0.20000000	0.00699982
7654.97482235	549.00000000	0.14443567	0.20000000	0.00659453
7655.40773614	432.00000000	0.11365430	0.20000000	0.00577058
7655.84215653	420.00000000	0.11049724	0.20000000	0.00568179
7656.27808397	355.00000000	0.09339647	0.20000000	0.00518329
7656.71551886	292.00000000	0.07682189	0.20000000	0.00466515
7657.15446164	294.00000000	0.07734807	0.20000000	0.00468224
7657.59491273	274.00000000	0.07208629	0.20000000	0.00450913
7658.03687257	247.00000000	0.06498290	0.20000000	0.00426699
7658.48034157	222.00000000	0.05840568	0.20000000	0.00403278
7658.92532017	199.00000000	0.05235464	0.20000000	0.00380724
7659.37180880	181.00000000	0.04761905	0.20000000	0.00362279
7659.81980790	167.00000000	0.04393581	0.20000000	0.00347374
7660.26931791	174.00000000	0.04577743	0.20000000	0.00354892
7660.72033925	138.00000000	0.03630624	0.20000000	0.00314620
7661.17287237	135.00000000	0.03551697	0.20000000	0.00311062
7661.62691771	133.00000000	0.03499079	0.20000000	0.00308671
7662.08247572	110.00000000	0.02893975	0.20000000	0.00279894
7662.53954682	120.00000000	0.03157064	0.20000000	0.00292713
7662.99813148	116.00000000	0.03051828	0.20000000	0.00287646
7663.45823013	107.00000000	0.02815049	0.20000000	0.00275945
7663.91984322	109.00000000	0.02867666	0.20000000	0.00278583
7664.38297121	83.00000000	0.02183636	0.20000000	0.00242288
7664.84761454	80.00000000	0.02104709	0.20000000	0.00237777
7665.31377366	82.00000000	0.02157327	0.20000000	0.00240793
7665.78144904	83.00000000	0.02183636	0.20000000	0.00242288
7666.25064112	63.00000000	0.01657459	0.20000000	0.00210544
7666.72135037	65.00000000	0.01710076	0.20000000	0.00213915
7667.19357723	71.00000000	0.01867929	0.20000000	0.00223743
